Plot,Quadrant,ID,Type,Number,Species,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,Location_Name,Condition,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm,Subplot_ID,Notes,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
Plot-P05,Q2,T39,Tree,1,Phyllanthus emblica (Amla),53.0,0.0,,10.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,53.1,,,16.870423967740905,0.0,,16.870423967740905,0.62,99.25200737326347,58.77703876644662,215.51580881030426,394.4824287258641,233.61249429145673,856.5791457353413
Plot-P05,Q2,T40,Tree,1,Mangifera indica,166.0,0.0,,18.5,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,166.3,,,52.839441106509256,0.0,,52.839441106509256,0.62,1680.2093473577042,995.0199755052323,3648.4065768525184,6617.303043612005,3918.766862427029,14368.811828899106
Plot-P05,Q3,T41,Tree,1,Ficus benghalensis,187.5,0.0,,20.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,187.7,,,59.68310365946076,0.0,,59.68310365946076,0.62,2299.622559763711,1361.8364798920695,4993.400426270921,8898.635247245264,5269.771793418645,19322.496575868365
Plot-P05,Q3,T42,Tree,1,Alstonia scholaris,76.0,0.0,,14.5,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,76.2,,,24.19155134996809,0.0,,24.19155134996809,0.62,288.2677802984336,170.71217949273236,625.9446581400186,968.9826405109677,573.8315197105951,2104.0489056055153
Plot-P05,Q4,T43,Tree,1,Mallotus philippensis,43.0,0.0,,10.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,43.3,,,13.687325105903,0.0,,13.687325105903,0.62,65.99077472522337,39.07973679227728,143.29236823835004,233.38628674731441,138.21135901175958,506.7749830431184
Plot-P05,Q4,T44,Tree,1,Syzygium caryophyllatum,89.0,0.0,,13.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,89.1,,,28.32957987035737,0.0,,28.32957987035737,0.62,352.67185852939866,208.8522746211099,765.7916736107362,1432.9518508331028,848.5940860633634,3111.5116488989993
Plot-P06,Q1,T45,Tree,1,Pongamia pinnata (Karanj),65.5,0.0,,11.0,Chande Village,Live,0.0,0.0,0.0,0.0,Live,65.8,,,20.84929754503829,0.0,,20.84929754503829,0.62,164.68539279102202,97.52668961084323,357.5978619064252,669.4678139976963,396.45883944943574,1453.6824113145976
Plot-P06,Q1,T46,Tree,1,Tectona grandis (teak),88.5,0.0,,11.5,Chande Village,Live,0.0,0.0,0.0,0.0,Live,88.8,,,28.17042492726548,0.0,,28.17042492726548,0.62,309.47613063918124,183.2717645645231,671.996470069918,1413.1241662216453,836.8521312364584,3068.4578145336804
Plot-P06,Q1,T47,Tree,1,Gliricidia sepium,38.0,0.0,,7.5,Chande Village,Live,0.0,0.0,0.0,0.0,Live,38.1,,,12.095775674984043,0.0,,12.095775674984043,0.62,39.15165953196843,23.1856127748317,85.01391350771623,170.9137807089611,101.21514093584675,371.12218343143803
Plot-P06,Q1,T48,Tree,1,Tectona grandis (teak),95.0,0.0,,14.0,Chande Village,Live,0.0,0.0,0.0,0.0,Live,95.1,,,30.239439187460118,0.0,,30.239439187460118,0.62,430.61607888207203,255.01084191396305,935.0397536845311,1683.628588314144,997.0448499996361,3655.831116665332
